,OCID,Category,Predicted,kjc9 Notes,kjc9 Comment,CleanText
15300,ocds-591adf-4516518284,Income tax: rate,royalties,,,"xcl cathay shall pay taxes to the chinese government subject to the tax laws and regulations of the people s republic of china 
"
15431,ocds-591adf-4426584943,Income tax: rate,royalties,,,in accordance with the complementary agreement canadian superior energy is subject to income tax and royalties on petroleum operations undertaken under this agreement 
15442,ocds-591adf-4624088322,Confidentiality,royalties,,,the contract is not confidential either party may publish information about the timing and amount of royalties taxes duties or other payments due or paid or the rates at which royalties taxes and duties or other payments become due or are assessed putu is only entitled to the confidential treatment of information as follows for numericvalue years neither party can divulge information designated as confidential about certain aspects of putu s business information is not confidential if it is publicly available or otherwise known to a party before disclosure if it subsequently becomes publicly known through no act or omission of a party if it is financial statements that are otherwise publicly available if it is of scientific rather than commercial value or if it has been disclosed pursuant to generally applicable law or a final order of any court that is not subject to appeal parties may disclose confidential information to affiliates and affiliates professional advisors or any other person when required to do so by law 
15509,ocds-591adf-4697175023,Income tax: exemptions,royalties,,,"for the duration of this contract no taxes royalties duties excise charges levies fees dues contribution payments or imposition of any kind payable to the central regional or local governments authorities or agents or to any chiefdom or tribal authority or any other agency of the government will apply to tonguma or any affiliate company or agent of the employees of tonguma or any affiliate company other than 
 annual rent and surface rent 
 income tax 
 royalties 
 withholding taxes 
 charges on imports 
 import inspection fees 
 community development fund contributions 
 profit sharing 
except as provided by the contract no tax royalty duty excise levy fee due contribution payment or imposition of any kind will be payable by tonguma its employees or shareholders or any of its affiliates where the effect of such tax is confined wholly to tonguma or its employees shareholders or affiliates or agents "
15625,ocds-591adf-4571322578,Bonuses,royalties,,,dwm will pay a one time signature bonus of us 400 000 in the form of us 160 000 cash and us 240 000 for the copying of albanian seismic data dwm will pay a production bonus of us 100 000 on the start up of production dwm will pay bonuses of us 500 000 when average daily crude oil production over any numericvalue day period reaches numericvalue bpd and us 1 million when production reaches numericvalue bpd over any numericvalue day period 
15669,ocds-591adf-4621402481,"Sacred, cultural, or historical sites",royalties,,,the contractor shall pay royalties to the indigenous cultural communities for the mining of their ancestral lands at the rate of 1 of the value of the gross output of minerals sold which amounts shall be incorporated in the mining project feasibility study sec numericvalue j 1 j 5 
15671,ocds-591adf-4571322578,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,dwm is entitled to recover all costs and expense under this contract up to 100 of available petroleum after the royalty tax and government allocation is deducted allowable costs include exploration expenditures development expenditures and all operating expenses incurred after the date of commercial discovery expenses recoverable from cost recovery petroleum are detailed in art numericvalue of annex c the following expenses are not recoverable costs incurred before the effective date costs incurred beyond the delivery point donations or contributions unless approved by akbn any production bonuses paid to akbn under art numericvalue7 fines or penalties levied by an albanian government agency and interest on bank loans used to finance petroleum operations
15677,ocds-591adf-4571322578,Income tax: exemptions,royalties,,,other than royalty tax and albanian profit tax dwm its affiliated companies and expatriated personnel shall be exempt from albanian taxes duties fee charges and levies of any nature whatsoever including excise taxes with respect to all activities relating to petroleum operations
15708,ocds-591adf-4197629132,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"the government share shall be the excise tax on the mineral products extracted at the rates prescribed in ra numericvalue plus other taxes duties and fees prescribed by other laws in addition to royalty payments of 5 of the gross output these taxes shall be paid to the nearest bir office in the province where the mine is located in computing the excise tax due the contractor must strictly follow auditing and accounting rules and regulations 
this government share shall be divided as prescribed by the local government code sec numericvalue
"
15713,ocds-591adf-4197629132,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 8 1 j 1
15748,ocds-591adf-4197629132,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 8 1 j 3
15779,ocds-591adf-4251085025,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"effective from the handover date following the deduction of royalty and the recovery of expenses and costs from the available petroleum the remaining petroleum in any quarter shall be allocated between the parties in each quarter in the following proportions 
 	until the cumulative available crude oil after deduction of the royalty reaches numericvalue million barrels the government share will be 80 and the genel enerji share will be 20 
 	thereafter until the cumulative available crude oil after the deduction of the royalty reaches numericvalue hundred million barrels in the government share will be 8numericvalue and genel enerji share will be numericvalue 
 	thereafter available crude oil after deduction of the royalty exceeding numericvalue hundred million barrels the government share will be 90 and genel enerji share will be 10 
any available natural gas which genel enerji intends to produce and sell shall be the subject of the profit sharing provisions of the new agreements referred to in article numericvalue "
15819,ocds-591adf-4013712466,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
15821,ocds-591adf-4013712466,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
15997,ocds-591adf-4379373179,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 8 1 j 3
16031,ocds-591adf-4379373179,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 8 1 j 1
16085,ocds-591adf-4270474629,Income tax: rate,royalties,,,the taxation act imposes a corporate tax rate of 30 on the net profit of mining companies 
16086,ocds-591adf-4270474629,Income tax: other,royalties,,,"the consideration for the 15 equity in paladin africa to the government is the advance payment by paladin africa of 
 i 2 5 of the corporate tax rate and 
 ii the rent resource tax 
the net impact of which is that paladin africa is only required to pay a 27 5 corporate tax rate on its profits "
16160,ocds-591adf-4299664636,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,the remainder of the annual gross production of crude oil after the allocation of value added tax royalty and cost recovery oil shall be allocated in proportion of china national petroleum corporation 51 pan china resources 49 
409,ocds-591adf-0122591393,Royalties,stabilization,??,,liberia forest products shall pay a 2 turnover tax during the numericvalue year rehabilitation term of the contract this payment is to be applied against future tax obligations after this period the laws of liberia of general application will apply 
731,ocds-591adf-9205170350,Income tax: rate,stabilization,model wrong,possible numeric value replacement incorrect?,"the rate of the corporate income tax applicable to westernzagros shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
the parties agree that the omv s corporate income tax shall be calculated on its net taxable profit under the contract "
767,ocds-591adf-9217575339,Governing law,stabilization,model wrong,mentions stabilization,"the text of art xxxiv of the mining development agreement dated august numericvalue numericvalue is hereby deleted in its entirety and replaced with 
the laws and regulations of liberia as modified and or stabilized by the provisions of art xix section numericvalue as amended art 1numericvalue and art numericvalue shall apply to mittal steel liberia holding with respect to all of its activities conducted in liberia and the operations in the event of a dispute the rights obligations and duties of the parties shall be construed and interpreted in accordance with the laws of liberia as supplemented by generally accepted legal principles "
772,ocds-591adf-9217575339,Income tax: rate,stabilization,possible multiple labels,,the rate of net taxable income shall be not greater than 30 should the government amend the revenue code so as to reduce the rate of tax below 30 mittal steel liberia holdings shall be entitled to the benefit of such a change 
915,ocds-591adf-9402339008,Governing law,stabilization,,,the laws and regulations in force in liberia and the provisions of international law as may be applicable to international oil and gas activities shall apply to the contractor to this contract and to the operations which are the purpose thereof unless otherwise provided by the contract 
917,ocds-591adf-9311596646,Income tax: other,stabilization,,,repsol and its assignees successors must pay income tax on its income from petroleum operations the government must out of its share of profit petroleum pay all income tax owed to the kurdistan region authorities by repsol and its assignees successors and provide repsol withl receipts indicating no income tax is outstanding repsol and its successors assignees must not record depreciation or amortisation changes in its accounts except as permitted by applicable law and only with prior written authorisation of the government further details on the definition and classification of expenses for accounting and tax purposes provided in annex b see in particular annex b arts numericvalue numericvalue numericvalue 
996,ocds-591adf-9316251017,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law to auhtorise the governement by contract or other authorisation to exempt investors in long term projects relating to the conduct of pretoleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liablity to pay such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects exempt from withholding tax additional profits tax surface tax windfall profits tax 
each contractor entity its affiliates and any subcontractor shall for the entire duration of this contract be exempt from all taxes as a result of its income assests and activities under this contract except as provided in article numericvalue and numericvalue"
1022,ocds-591adf-9402339008,Income tax: other,stabilization,,too much data?,"the contractor shall be subject to the laws generally applicable and the regulations in force issued by the government concerning taxes which are or may be levied on incomes it is specifically acknowledged that the provisions of
this article shall apply individually to any entity comprising the contractor under this
contract the contractor shall in respect of its net profit arising from petroleum operations be liable to an income tax under the laws and regulations in force of the government for purposes of assessing the contractor s taxable net income in respect of a fiscal year the profit and loss account shall be credited by the contractor s annual gross income recorded in its account books arising from the marketing of the quantity of crude oil to which it is entitled under arts numericvalue and numericvalue and all other incomes or proceeds related to the petroleum operations including those arising from a the sale of related substances b processing transportation or storage of products for third parties in the facilities dedicated to the petroleum operations within numericvalue months after the end of a fiscal year each entity constituting the contractor shall submit to the competent tax authorities its annual
tax return together with financial statements as required by applicable regulations national oil company of liberia shall after submission of said annual tax return and acknowledgment of tax payment furnish to the contractor within a reasonable period the tax receipts evidencing the payment of the contractor s income tax and all other documents
the contractor shall be subject to the laws generally applicable and the regulations in force issued by the government concerning taxes which are or may be levied on incomes it is specifically acknowledged that the provisions of this article shall apply individually to any entity comprising the contractor under this contract the contractor shall in respect of its net profit arising from petroleum operations be liable to an income tax under the laws and regulations in force of the government for purposes of assessing the contractor s taxable net income in respect of a fiscal year the profit and loss account shall be credited by the contractor s annual gross income recorded in its account books arising from the marketing of the quantity of crude oil to which it is entitled under arts numericvalue numericvalue and all other incomes or proceeds related to the petroleum operations including those arising from a the sale of related substances b processing transportation or storage of products for third parties in the facilities dedicated to the petroleum operations "
1025,ocds-591adf-9205170350,Income tax: exemptions,stabilization,,,"the government intends to present to the national assembly of the kurdistan region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects 
for the entire duration of the contract westernzagros its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the government shall indemnify westernzagros upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption "
1171,ocds-591adf-8934817155,Income tax: rate,stabilization,,,tullow sabre and kosmos will be subject to an income tax rate of 35 as provided for in the petroleum income tax law numericvalue pndc law 188 if a new income tax rate comes into effect the contractor will be given the option of either applying the new rate to the agreement or remaining under the current law 
1676,ocds-591adf-9949039362,Income tax: exemptions,stabilization,,,golden ventures is subject to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes golden ventures may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge 
1891,ocds-591adf-0082364168,Income tax: other,stabilization,,,golden land development is obliged to pay the state other tax in accordance with effective law of the royal government of cambodia
1920,ocds-591adf-0122591393,Assignment or transfer,stabilization,,,assignment of this contract or any right or interest contained within this contract is not permitted without the prior written consent of the government this consent should not be unreasonably withheld as long as equatorial biofuel mauritius ltd continues to the parent company of liberia forest products a change of control of liberia forest products will not have occurred 
2423,ocds-591adf-7619321296,Income tax: exemptions,stabilization,,,t rex resources is subject to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes t rex resources may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge 
2614,ocds-591adf-7480993358,Other,stabilization,,,"anti corruption provisions if the contract is reasonably proven to have been obtained in violations of the laws of kurdistan region or of iraq concerning corruption this contract shall be deemed void ab initio 
dno iraq and genel energy international declare that neither they or any of their affiliates has made offered or authorized with respect to the contract any payment gift promise or other advantage whether directly or through any other person to or for the use or benefit of any public official or any political party or candidate in violations of i the laws of the kurdistan region or of iraq ii the law of the place of incorporation or their principal place of business or iii the principles described in the convention on combating bribery of foreign public officials in international business transactions of 17 12 1997 and the convention s commentaries no part of their participating interest under the contract is held or payable to a public official "
2733,ocds-591adf-6935276590,Other - miscellaneous,stabilization,,,in the event that a law or regulation adopted in the democratic republic of congo after the date of the original convention contains a system or provisions more favorable than any of those provided in this agreement then such system or such provisions will be immediately applicable at the option of tfm in place of the corresponding system or provisions in this agreement 
2735,ocds-591adf-7919066275,Income tax: rate,stabilization,,," years numericvalue to 3 6 
 years numericvalue to numericvalue0 25 
 years numericvaluenumericvalue thereafter rate of tax applicable to companies by law but not over 30 
if at any time the income tax act provides for a tax rate that is more favorable to large scale mining companies than here london mining may apply such lower rate "
2897,ocds-591adf-7151047842,Income tax: rate,stabilization,,,as of the effective date the income tax rate for companies under the kurdistan region law is 15 of taxable income 
2991,ocds-591adf-7082927540,Income tax: rate,stabilization,,,"the rate of the corporate income tax applicable to the contractor shall be the generally applicable rate prescribed in the law of taxation law no numericvalue of 1numericvaluenumericvaluenumericvalue under the kurdistan region as may be amended from time to time or substituted in respect of petroleum operations but it shall not exceed 40 the parties acknowledge and agree that at the effective date the corporate income tax rate is 40 for all net taxable profits in excess of numericvalue million iraqi dinar 
the parties agree that the contractor s corporate income tax shall be calculated on its net taxable profit under the contract "
3021,ocds-591adf-7082927540,Income tax: exemptions,stabilization,,,"
the government intends to present to the national assembly of the kurdistan region a law s to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations in the kurdistan region from kurdistan region taxation to guarantee the stability of the applicable legal fiscal and economic conditions of such projects "
3216,ocds-591adf-6998213818,Income tax: rate,stabilization,,,as at the effective date the income tax rate for companies under kurdistan law is 15 of taxable income
3293,ocds-591adf-7265722663,Work and investment commitments,stabilization,,,"the contractor shall continue the development and commercial utilization immediately upon approval and registration of this contract following its work program and budget and environmental compliance certificate any changes must be approved by the secretary sec 5 1 
the work program and budget must cover numericvalue years of operation and new ones must be submitted numericvalue0 days before the new period starts the contractor commits to spend not less than the following amounts php numericvalue million for the 1st year php numericvalue million for the 2nd year and php numericvalue million for the numericvaluerd year sec 5 numericvalue 
the work program contains the proposed mining operations and expenditures and must be submitted to the secretary through the regional director copy furnished the director sec 7 1 
if the government wants to change an item in the work program it shall notify the contractor within numericvalue0 days from receipt with reasons for such change the parties shall then agree on the changes after numericvalue days from receipt with no notices given the work program is deemed approved sec 7 2 
the contractor may make slight changes to its work program as long as it is within its general objective changing items by more than 20 shall require the approval of the secretary sec 7 numericvalue 
"
3334,ocds-591adf-6935276590,Income tax: other,stabilization,,,the tax and customs regime applicable to the project shall be only as set forth in the provisions of title ix of the mining code as existing on the date of this agreement and as from the entry into force of this agreement except as applies to the transitional measures for the numericvalue fiscal year set forth in appendix b of this agreement 
3404,ocds-591adf-6872304960,Income tax: rate,stabilization,,,dwm will pay a profit tax of 50 on its share of profit petroleum this rate is fixed for the life of the contract in the unlikely event that the profit tax is increased in spite of existing albanian law the profit sharing percentage will be automatically modified so that dwm receives the same share of profit petroleum as if the profit tax rate had not changed
3485,ocds-591adf-8547023144,Income tax: exemptions,stabilization,,,african aura resources is subject to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes african aura resources may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge 
3607,ocds-591adf-8810576476,Reporting requirements,stabilization,,," fiscal terms 
the parties shall at numericvalue year intervals from the effective date of the agreement review its economic terms to determine whether the agreement shall be amended to provide for an adjusted allocation of economic benefits between mcc jiangxi and the government 
during the review the parties shall bargain in good faith with a view to providing a fair and equitable division of profits in light of the economic factors prevailing at the time of the review 
the following factors shall guide the review a economic value of the license b terms of other comparable copper agreements negotiated by the government within the numericvalue year period preceding the review date c terms of other comparable copper agreements negotiated by mcc jiangxi within the numericvalue year period preceding the review date and d terms of other comparable copper agreements negotiated by third parties 
general review
the parties shall at numericvalue year intervals from the effective date of the agreement review the agreement excluding the dispute settlement provisions to determine whether in light of changed circumstances the agreement should be amended 
the review shall be carried out in good faith giving due regard to the legitimate interests of the other party 
disputes arising from periodic review shall be resolved under section numericvaluenumericvalue of the agreement disputes "
4027,ocds-591adf-8287357455,Governing law,stabilization,,,the laws and regulations of the republic of liberia and the provisions of international law as may be applicable to international oil and gas activities shall apply to regal liberia to this contract and to the petroleum operations related to this contract 
4148,ocds-591adf-8293745677,Income tax: rate,stabilization,,,35 calculated in accordance with the petroleum income tax law of numericvalue or at such lower rate as may be applicable under any amended petroleum income tax law in case contractor elects to be taxed under such new tax regime 
4645,ocds-591adf-7041399452,Governing law,stabilization,,,the contract and its associated rights and obligations is governed by and construed in accordance with the domestic substantive law of southern sudan without giving effect to any choice or conflict of law provision or rule that would cause the application of the laws of any other jurisdiction in the absence of any applicable substantive law of southern sudan the governing law will be the domestic substantive laws of england and wales 
4800,ocds-591adf-5399370669,Hardship clause or force majeure,stabilization,,,"in the event that either party is unable to carry out an obligation other than an obligation for monetary payments under the contract because of force majeure the party will notify the other party of the particulars of the force majeure and the obligations of the party under force majeure will be suspended if the force majeure directly impacts golden veroleum s ability to operate in any part of the concession area obligation to make payments of money for the use of that area after the occurrence of force majeure will be suspended if force majeure continues for numericvalue year golden veroleum may terminate the agreement or if it continues for numericvalue0 years and affects at least 80 of the concession area the liberian government may terminate if the force majeure affects less than 80 the liberian government may terminate the contract only as to the affected portion termination of the contract due to prolonged force majeure will be without further obligations or cost if there is a disagreement regarding whether force majeure has ceased the dispute may be arbitrated force majeure is defined as threats such as war or terrorism trade restrictions rioting strikes lasting at least numericvalue20 days acts of god epidemics crop disease or any similar cause 
if either party feels that there are such changes in the economic conditions of the oil palm industry or in the circumstances existing in liberia or elsewhere as to result in a material and fundamental alterations of the conditions relied upon by the parties when they entered into the contract it may notify the other party and provide reasonable information following which the parties will meet to review the matter and effect such change in or clarification of the contract that they agree is necessary each party may also at any time request a consultation with the other with respect to any matter affecting the rights and obligations of the parties under the contract "
4820,ocds-591adf-5446807513,Income tax: exemptions,stabilization,,,koh kong sugar industry company shall be obliged to pay taxes to the state in accordance with the law in force of the kingdom of cambodia
4929,ocds-591adf-5085611127,Income tax: rate,stabilization,,,mopp will be taxed on net taxable income according to the tax laws of liberia provided that in the first numericvalue years after the date mopp makes its first shipment of oil palm products the applicable tax rate does not exceed numericvalue if the rate under liberian law is less than numericvalue during the term of the contract mopp will be entitled to that lower rate 
4938,ocds-591adf-5085611127,Assignment or transfer,stabilization,,,mopp will not assign its obligations or rights or otherwise encumber its rights under this contract to any other person without the prior written consent of the liberian government which shall not be unreasonably withheld any change of control of mopp such that it is no longer an affiliate of sifca or any other entity which controls sifca will require written consent of the liberian government which will not be unreasonably withheld this contract may not be assigned transferred to any prohibited person or any person owned or controlled by a prohibited person 
4953,ocds-591adf-5399370669,Renewal or extension of term,stabilization,,,the contract may be extended the parties must meet no later than numericvalue years before the end of the term to discuss the terms and conditions of an extension if golden veroleum has satisfied all of its key performance indicators by this meeting date it may request an extension of the term for up to numericvalue years with a notice given to the liberian government within numericvalue days following the meeting date any disagreement concerning whether golden veroleum has met its performance indicators will be settled through the contract terms on arbitration the fiscal provisions for the term extension will be negotiated by the parties provided that i each fiscal provision should be the most favorable to golden veroleum between a the generally applicable law and b the most favorable provision contained in similar agreements additionally any fiscal terms that are stabilized immediately prior to the expiration of the term can not be increased by more than 200 and will be subject to escalation in accordance with the terms of the contract the non fiscal provisions will remain unchanged prior to granting a concession over the concession area following the termination of the contract the liberian government must offer the same terms to golden veroleum and the parties have numericvalue days to come to an agreement if no agreement is reached the liberian government cannot offer more favorable fiscal terms to another party 
4961,ocds-591adf-5399370669,Environmental protections,stabilization,,,"right to use of water is subject to requirement that golden veroleum will not materially deprive any tribes villages towns houses or watering places for animals of a reasonable supply of water insofar as such water has customarily been utilized and will not otherwise dam any streams or use amounts of water in such a manner as to materially interfere with the farming activities of farmers or residents being conducted when the contract enters into force golden veroleum will ensure that its use of water does not result in any pollution contamination or other environmental damage in violation of applicable law 
golden veroleum s obligations with respect to the environment will be in accordance with the environmental protection and management law of liberia or any other law or regulation of liberia regulations of the environmental protection agency and the principles of the roundtable on sustainable palm oil "
4975,ocds-591adf-5399370669,Income tax: rate,stabilization,,,golden veroleum will be taxed on its net taxable income pursuant to the laws of liberia and according to international accounting standards guidelines to a maximum of 25 until numericvalue if at any time the law of general application provides for a lower tax rate golden veroleum will be entitled to that lower rate subsidiaries in the same group as golden veroleum may file consolidated taxes jointly with golden veroleum are all entitled to the benefits as golden veroleum in each fiscal year golden veroleum s total tax liability excluding loss carried forward will be limited to 120 of what it would have had to pay under liberia s general law of application 
5025,ocds-591adf-6230864133,Other - miscellaneous,stabilization,,,the agreement is fully agreed by the government and growest building trading company it shall not be suject to modification or change except when there is a written agreement signed and recognized by both parties 
5059,ocds-591adf-6230864133,Governing law,stabilization,,,the contract is governed by the laws of the kingdom of cambodia specific laws referenced include the investment law and amendment to the investment law of the kingdom of cambodia and the land law of the kingdom of cambodia 
5414,ocds-591adf-8891537745,Governing law,stabilization,,,the contract as well as the rights and obligations under it will be interpreted in accordance with the laws of liberia and by applicable rules and principles of international laws particularly with regard to an investment by nationals of one country in another country in the event of a conflict between the contract and any laws of liberia with the exception of the constitution the obligations and duties of a party will be deemed to be those set forth in the contract the constitution at the time the contract came into force will prevail over any provisions of the contract 
5415,ocds-591adf-8891537745,Other - miscellaneous,stabilization,,,any breach by ada commercial or the government of an obligation under the contract or any inability of the government to honor an obligation under this contract due to a change in the laws of liberia subsequent to the date the contract came into force entitles the party affected by such breach to be indemnified by the party that has breached its obligation in an amount equal to the damage suffered by the affected party
5738,ocds-591adf-9515165470,Governing law,stabilization,,,the contract and the rights obligations and duties of the parties to it is to be construed and interpreted in accordance with cameroonian law which includes judicial decisions and executive orders and by applicable rules and principles of international law particularly regarding investment by nationals of one country in another country however in the event of a conflict between the contract and any law except the constitution of cameroon as in effect as of the contract date the rights obligations and duties of each party are deemed to be those as set out in the contract 
7221,ocds-591adf-0966186576,Other - miscellaneous,stabilization,,,any breach by a party of an obligation due to a change in law subsequent to the date the contract comes into force where such government action in the absence of a change in law would have resulted in a breach shall entitle the aggrieved party to be indemnified by the defaulting party by an amount equal to the damage suffered by the aggrieved party
7323,ocds-591adf-4112300393,Renewal or extension of term,stabilization,,,pheapimex has the right to renew the contract after numericvalue years of production the rental fee on renewal shall be changed according to principle and decision by the government if the government or pheapimex does not agree the newly assigned fee both parties shall discuss with other companies who have done the same business in cambodia in order to determine the appropriate market prices necessary for continuous rent 
7796,ocds-591adf-3088551951,Other - operational,stabilization,,,nega mamay mihret or the company or business organization incorporated for the purposes of the agreement has to execute all development activities as per the agreed business plan any change or deviation from the business plan has to be reported with justification to the ministry of agriculture 
7896,ocds-591adf-2948828982,Surface fees or rent,stabilization,,,the land rental bid is us numericvalue per hectare per year the land rental bid payment is calculated annually by taking all land inside and outside of the concession area used by tarpeh timber excluding land within the contract area listed in art a1 that is not harvested due to changed circumstances and multiplying it by the land rental bid listed in art a4 tarpeh timber shall first pay it prior to felling any trees and after that every year on the contract signing date tarpeh timber shall pay log stumpage annual contract administration area coupe inspection and forest product fees to the government under forest development authority regulation 107 07 on certain forest fees 
8068,ocds-591adf-3390766534,Other - operational,stabilization,,,horizon plantations has to execute all development activities as per the agreed business plan in case of any change or deviation from the business plan it has to be reported with justification to the ministry of agriculture 
8165,ocds-591adf-3299055400,Governing law,stabilization,,,the contract is entered into pursuant to the investment law the amendment of the investment law and the land registry law of the kingdom of cambodia
8205,ocds-591adf-3299055400,Income tax: other,stabilization,,,crystal agro company shall also be obliged to pay other taxes in accordance with the law in force in the kingdom of cambodia
8233,ocds-591adf-3371037354,Governing law,stabilization,,,in case of a dispute among the parties the governing law will be the laws of liberia including any labor environmental health safety customs and tax statutes and any international treaties liberia is a party to when resolving a dispute the arbitral tribunal shall construe and interpret the rights and obligations of the parties under the contract in accordance with the laws of liberia and by such rules and principles of generally accepted international law in the area of international investment that may be applicable in case of a conflict between the provisions of the contract and any provisions of the laws of liberia enacted after the contract came into force the provisions of the contract shall prevail the constitution of liberia shall always prevail 
8383,ocds-591adf-2272060363,Income tax: rate,stabilization,,,"in general mano river iron ore liberia inc shall be liable to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from customs duties and excise taxes 
the rate of tax applicable to all taxable income of mano river iron ore liberia inc shall be 30 "
8671,ocds-591adf-2342209022,Income tax: exemptions,stabilization,,,operator is subject to all taxes fees duties excises and other charges imposed by liberian laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes operator may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge 
8678,ocds-591adf-2339126006,Income tax: rate,stabilization,,,the company shall in respect of its net profit arising from petroleum operations be liable to corporate income tax under the laws and regulations in force in liberia income tax applicable to petroleum operations carried out under this contract shall be 35 which shall be paid directly by the company to the government of liberia 
8685,ocds-591adf-2339126006,Governing law,stabilization,,,the laws and regulations in force in the republic of liberia and the provisions of international law as may be applicable to international oil and gas activities shall apply to the company to this contract and to the operations which are the purpose of same unless otherwise provided by the contract 
8691,ocds-591adf-2339126006,Other - miscellaneous,stabilization,,,"in the event of changes in circumstances from those existing at the effective date that have a material effect on the terms of this contract either the government or the company shall at the request of the other consult together if it is established that such profound changes in circumstances have occurred then the parties shall effect such changes in or clarifications to this contract that they agree are necessary 
the parties shall meet in good faith to make the necessary revisions and adjustments to the contract in order to maintain such expected economic benefits to each of the parties provided that the economic benefits to the parties shall not be reduced as a result of exercising the terms of this article 
for the purposes of this contract the term profound changes in circumstances shall mean such changes in the economic conditions of the petroleum industry world wide or in liberia or changes that result in such alteration of the conditions and assumptions relied upon by the parties at the effective date of this contract that the overall balance of equities and benefits reasonably anticipated by the parties will no longer be achievable 
additionally the parties also agree to review the agreement every five years to consider the concerns of any of the parties "
8708,ocds-591adf-2371500394,Income tax: rate,stabilization,,,bentley international trading corporation bentley shall be subject to liberian income tax laws of general application the rate of tax applicable to all of bentley s taxable income is 50 
8776,ocds-591adf-1774464193,Income tax: rate,stabilization,,,35 calculated in accordance with the petroleum income tax law of numericvalue or at such lower rate as may be applicable under any amended petroleum income tax law
