,OCID,Category,Predicted,CleanText,TextLength
7608,ocds-591adf-1717538716,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,any petroleum not taken for royalty or as recoverable cost oil shall be shared as entitypeentityloentitypeentityorg oil gas limited ,132
7712,ocds-591adf-2126098674,Income tax: other,stabilization,company their employees persons providing any materials supplies services or facilities or supplying any ship aircraft machinery equipment or plant whether by way of sale or hire to the company for petroleum operations or for any other purpose and the employees of such persons shall be subject to all fiscal legislation in entitygpe except where pursuant to any authority granted under any applicable law they are exempted wholly or partly from the application of the provisions of a particular law or as otherwise provided in this contract ,542
7723,ocds-591adf-2078279301,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,all exploration development production and operating expenditures as defined in annex c incurred by the company shall be recovered from entitypercent gross oil production after deduction of the royalty cost recovery in respect of gas production will be negotiated upon the discovery of gas for the purpose of cost recovery ring fencing shall apply the company shall carry forwaentitydate years all unrecovered costs until full recovery is completed ,449
7766,ocds-591adf-1878297445,State participation,royalties,entityorg is entitled to reentitypercenentitypeentityorgiquid hydrocarbons production as royalties a,100
7767,ocds-591adf-1878297445,Physical security or protection of property,stabilization,the ministry shall endeavor to provide adequate security within entityorg and any other areas in entityorgations are conducted including during travel to and from such areas in the eveentityorge contractor considers the security provided for its personnel inadequate or inconsistent with its policies supplementary security measures shall be ientitygpe by the contractor including but not limited to the engagement of competent private security providersentitygpeo operate in afghanistan such arrangements shall be revised from time to time in response to changes in security conditions ,587
7770,ocds-591adf-1878297445,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties, after deduction of royalties and the recovery of cost oil by the entityorg the ministry shall be allocated a portion of the hydrocarbons produced and saventitydate month as follows ifentitylocs contractor revenues divientityorgtions expenditures incurreentitydateediately preceding monthentitycardinalare less than or equal to numericvalue the minisentitylocy is entitled to percentvalue of profit oil entitycardinaleater than numericvalue but less thentitypercentequal entityloc numericvalue the ministry is entitled to percentvalue entitycardinalprofit oil greater than numericvalue but less thaentitycardinal the minientitylocry is enentitycardinalled to a sliding scale oentitypercenteen numericvalue and percentvalue of profit oil greater than numericvalue the ministry is entitled to percentvalue of profientitentitentitypeentitentitypersons shall be made separately in respect of the designated fields kashkari angot aq darya bazarkhami zamarudsay and the rest of the contract area ,990
7773,ocds-591adf-1800799116,Governing law,stabilization,this contract its entityproduct and any modification will be governed and interpreted according to the laentitygpelumbia and the fedeentitygpews of canada applicable therein except the laws which are inconsistent with the contract ,231
7778,ocds-591adf-1834156729,Income tax: exemptions,stabilization,the government intends to present to entityorg region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects for the entire durationentityorg contract norbest its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the goventityorg shall indemnify norbest upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,772
7824,ocds-591adf-1990915353,Income tax: rate,stabilization,entityorg shall be liable to tax on profit in conformityentitypersono 7811 date numericvalue on approvaentityorgeentitycardinal82 date numericvalue on the fiscal system in the hydrocarbons sector exploration produentitypersond amended by law no 8297 date numericvalue and in conformity with the license agreement ,313
7825,ocds-591adf-1878297445,Income tax: rate,royalties,at the effective date the income tax rate in entitygpe wentitypercentf percentvalue the contract sets forth hoentityorgt contractor s taxable income shall be subject to an ientitypercentof percentvalue stabilized for the remaining period of the agreement ,255
7874,ocds-591adf-2939708932,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,257
7944,ocds-591adf-2944436063,Environmental impact assessment and management plan,stabilization,el contratista se obliga a cumplir las disposiciones del reglamento para la protecci n ambiental de las actividades de hidrocarburos entitentitycardinal numericvalue as como las dem s disposiciones ambientales vigentes aplicables el contratista utilizar las mejores t cnicas disponibles en la practica de la industria internacional y respectar las leyes ambientales sobre el control de la contaminaci n ambiental la preservaci n de la diversidad biol gica y los recursos naturales y la preservaci n de la seguridad y salud de la poblaci n y de su personal,555
7951,ocds-591adf-2944436063,Cancellation or termination,stabilization,la terminaci n del contrato se rige por lo estipulado en el y supletoriamente con las normas de la ley no entityproduct,119
7954,ocds-591adf-2862910055,Income tax: other,royalties,entityperson frais financiers sont d ductentitypercent50 du b n fice r investi les d penses de recherche taxes et imp ts dotation aux amortissement redevance de location et honoraires de gestion et toutes provisions centityorg l ensemble des provisions constitentitypercentne pourront percentvalue entitypercentfre d affaire ou percentvalue du b n fice imposable report des pertes jusqu au dixi me exercice,406
7963,ocds-591adf-2792396017,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,the contractor shall pay the government entitypercent the net revenues this is inclusive of the corporate tax excise tax and all other taxes duties fees levies royalties as well as tax on dividend payments to stockholders and tax on interest payments on foreign loans extended by the stockholders to the contraentitygpetor provided that if this inclusion needs a law then such inclusion shall take effect after such law has been pasentitycardinal entitypercent 4 this percentvalue share is payable after the contractor and its affiliates have recovered their pre opeentitycardinalng expenses sec numericvalue,608
7987,ocds-591adf-2786162362,Other - operational,stabilization,entitygpe and the company group may sign a petroleum operations procedure document which will regulate and interpret the contents of this contract any such document would be agreed between the parties and would be in accordance with the provisions of this agreement and the law ,278
8008,ocds-591adf-2840001526,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,following the deduction of royalty and costs and expenses from cost recovery petroleum the remaining petroleum in any quarter including any portion of cost recovery petroleum not required for recovery of cost and expenses also called profit oil or entitywork of art should be allocated between the parties in each quarter in the following proportions for each and every development area the profit oil should be shared as folentitywork of art until the cumulative available crude oil after deduction of the royalty from any development aentityquantitylion barrels the government share of the available crude oil from that deentitypeentityorg area entitypercent0 and dno asa s share is percentvalue thereafter until the cumentitymoneyeaches three hundredentitypeentityorgbarrelentitypercenthe government share is percentvalue and dno asa s share is percentvalue until the cumulativeentitycardinalcrude oil after deduction ofentitypeentityorgntyalty reentitypercentne billion barrel the government share is percentvalue aentityquantityis percentvalue and until entitypeentityorgntmulativeentitypeentityorgeeding one billion barrels the goventityorg share is percentvalue and dno asa s share is percentvalue any available natural gas whether associatentitypercenton associated entitypercenta ientityorgnds to produce and sell should be allocated between the parties in each quarter with percentvalue for the government and percentvalue for the dno asa ,1449
8026,ocds-591adf-2862910055,Name and/or composition of the company created,royalties,entityorg et cluff vont cr er danentitycardinal les numericvalue mois suivant la ratification de la convention une soci t enrentitygper e aentityorggo et nomm e scarl cette soci t d tiendra les droits miniers sur les zones d exentityorges deentitypercentrches emk mn d tiendra percentvalue du capital avec option d achat de 1entitypercentuppl mentaire de scarl et cluff percentvalue,382
8028,ocds-591adf-2862910055,Work and investment commitments,royalties,clumingo s engage pour la premi re p riode de validit de numericvalue ans entitygpe r aliser le programme de travaux dont l ex cution lui est confi e pentityorg scarl tel que d crit daentitycardinals l annexe numericvalue afin de d couvrir les m taux dans les zones exclusives de recherches entityorgleurs valeurs entitycardinales zones sont valables numericvalue ans et renouvelables deux foentityorgpres leur expiration la scarl devra livrer l etat un rapport et toutes les cartes et donn es concernant les recherches pour chaqueentityorgment conomiquement viable la scarl aura le droit d exploiter ce gisement apr s avoir pr sente une tude de faisabilit bancable ,666
8049,ocds-591adf-2807774921,Governing law,stabilization,any arbitrage tribunal constituted pursuant to this contract shall apply the provisions of this contract as supplemented and interpreted by general principles of the laws of entitygpentitygpengland as are in force on the effective date ,236
8052,ocds-591adf-2807774921,Arbitration and dispute resolution,stabilization,the parties consent to submit to entityorg any dispute in relation to or arising out of this contract for settlement by arbitration pursuaentityorgspuentitygpetween states and nationals of other states it is agreentityorgthat although jkx ninotsminda lentityorg is a national of cyprus it ientitygpenational of the united kingdom and shall be treated as a national ofentityorge for the purposes of the convention a party need not exhaust administrative or judicial remedies prior to commencement of arbitrage proceedings any arbitrage tribunal constituted pursuant to this contract shall apply the provisions of this contract as supplemented and interprentitygpentitygpeal principles of the laws of georgia and england as in force on the effective date ,753
8109,ocds-591adf-3014563630,Income tax: rate,stabilization,the corporate income tax shall be levied in accordance with the income tax law as may be amended from time to time but always subject to arts entitycardinaentitycardinald numericvalue which discuss how the parties will deal with any subsequent changes of laws or introduction of new taxes ,289
8116,ocds-591adf-3034053463,Audit mechanisms - financial obligations,royalties,the government may instruct an independent firm of accountants to assess lossese entitydatentitydate1 numericvalue obligation to report to the government any chance in the market and how it affects the company long term contract price of the relevant entitydatethin numericvalue days entering into the contract obligation for the company s auditoentitydateort on a quarterly basis on the fact that sales have been arm s length transactions all sales have been made under long term contracts besides those on the spot market all royalties have been correctly calculated and paid,577
8209,ocds-591adf-2985497670,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,of the crude oil remaining after deducting operating costs the parties shall be entitled to take and receive entitydate respectentitypeentitygpentitypeentityorgtmina and percentvalue for apex yapen ltd ,202
8258,ocds-591adf-3001376476,Withholding tax,royalties,entityorg shall withhold taxes in accordance with the general provisionentityorge code except that it shall withhold tax on payments made to nonresidents at the following rates entitypercentvidenentitypercent5 interest 10 entitypercentyments for services percentvalue,267
8291,ocds-591adf-2590553572,State participation,royalties,tyg is entityorg operating company as of the date a law is passed ratifying the contract and if approved by the ministry the date of signature of the contentityorgt tentitypercentuires percentvalue of rights and working interests unentientitygpentitygpehe contract dno entitypercentan and tg acquire the remaining percentvalue and shall fund bear and pay all costs expenses and expenditure of petroleum operations conducted ,424
8311,ocds-591adf-2561344209,Other - financial/fiscal,royalties,entityorg s entityorgentitentityorgcarbonetos e p empresa shall pay a petrentitypercent production taxentitypercent of the natural gas and percentvalue of the crude oil produced onshore entitycardinaldepentityorentityorga depth of less thaentitypercent meters enentitypercent empresa shall pay a quantity of percentvalue of naturalentitycardinalhe crude oientityquanentityorentityorgsits at a depth of entitypercenter than 100entitypercentrs and less than numericvalue meters eni and empresa shall payentityquanentityorentityorg natural gas and 5 entitypercenthe crude oientitypercentr offshore depositsentityorgepth entitymoneyan numericvalue meters eni and empresa shall pay a quantity of percentvalue of natural gas and percentvalue of the crude oil eni and empresa shall pay us numericvalue to the government this amount shall be used as institutional support to the entities involved in promotion and administration of petroleum operations ,945
8318,ocds-591adf-2561344209,Income tax: rate,stabilization,the corporate income tax shall be levied in accordance with the income tax law as may be amended from time to time but always subject to arts entitycardinaentitycardinald numericvalue which discuss how the parties will deal with any subsequent changes of laws or introduction of new taxes ,289
8338,ocds-591adf-2593066531,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,262
8348,ocds-591adf-2590553572,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,upon initial commercial production entitentitygpentitygpeansan andentitypercentll receive percentvalue of the crude oil allocated to recover costs expenses and expenditures paid by them in conducting petroleum oentitentitentitygpentityorgtions cost oil dno ansan tg and tyg can recover all costs expenses and expenditures incurred for all petentitypercentns to the extent of a maximum of percentvalue per quarter of all the crude oil produced and saved and not used in petroleum operations and after royalty payments to the stentitycardinal the non recoverable expenses are set out in art numericvalue,601
8349,ocds-591adf-2590553572,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,the crude oil remaining after deducting royalty and cost oil shall be disposed of in accordance with the sample calculation in entitygpe and as follows foentityorentityquantientitydatebarentitydateof monthly entitypercente daily net entitypeentitentitentitygpentityorgttion percentvalue to the minientitycardinalnentityquanentitypercentsan tg and entitypercentor the portion exceeding numericvalue up tentityentityquanentitypercento the ministentitypercent percentvalue to the companies for the portientitycarentitycardinal0 00entitypercento numericvalue barentitypercent70 to the ministry and percentvalue to tentityquanentitypercent the portionentitypercentding numericvalue up to numericvalue barrels percentvalue to tentitentitentitygpentitentityorgginistry entitypercent to the companies anentitentitygpentitygpe anythingentitypeentitypercentt barrels percentvalue to the ministry and percentvalue to the companies of the relevant portion going to dno ansan tg and tyg tyg shall receive percentvalue of production sharing oil and dno ansan and tg shall receive the remaining percentvalue,1092
8380,ocds-591adf-2458536233,Resource(s),stabilization,l annexe c la convention pour la r habilitation l extension et l exploitation des gisements de bauxite de kindia du entitycardinal noventitycardinale numericvalue apporte des clauses suppl mentaires la convention et clarifie certaines dispositions de la entitygpeention elle n a pas t ratifi e par l assembl e nationale pr ambule,329
8387,ocds-591adf-2458536233,Infrastructure,stabilization,l article entityquantity la convention relatif aux installations portuaires est amend l annexe liste les installations portuaires pr voit que la redevance portuaire est r gie par une convention entre l administration du port et la soci t l investisseur est responsable de l tat et de la maintenance du quai nentitycardinalm ro numericvalue du port minier et l etat est responsable de la maintenance des installations portuaires l etat s engage galement mettre disposition de l investisseur des terrains autour de la voie ferr e afin de lui permettre d tablir une zone de s curentitycardinalt art numericvalue et numericvalue,624
8393,ocds-591adf-2461556641,State participation,royalties,entitypercent entitypersoni t cr er variable selon les besoins en contrepartie de l apentitypersonguin e de la concession mini re des privil ges financiers de certains droits et titres miniers du r gime fiscal de longue dur e et de la garantie d une exploitation paisible sous r serve d une r solution contraire du conseil d admentitypersontion de la soci t b n fice net apr s imp t distribu sous forme de dividendes nets de toutes charges taxes ou imp ts apr s retenue toutefois de percentvalue pour r serve l entitypercentusquentitygpeur de percentvalue du capital b n fice r parti entre les actionnaires au prorata de leurs actions ,635
8424,ocds-591adf-2461556641,Term,stabilization,concession entitycardinalentientitycardinallawntion numericvalue ans compter de la signature en tout tat de cause la dur e de la convention ne sera pas inf rieure la dur e n cessaire l extraction des r serves de bauxite entityperson es par la soci t conform ment auxentitycardinalspositions de l art numericvalue,312
8436,ocds-591adf-2547744131,Physical security or protection of property,stabilization,the government shall endeavor to provide adequate security within the contract area and any other areas in entitygpe in which hydrocarbons operations or operations related thereto are conducted including during travel to and from such areas however in the evententityorentityorganentitygpe ltd cnpci watan in its reasonable opinion considers the security provided for its personnel is inconsistent with its health safety and environmental policies international best practices or inadequate to allow hydrocarbons operations to be conducted safely and without threat to life entitypersonvernment and cnpci watan hereby agree supplementary security meaentityorg be implemented by cnpci watan as the case may be including but not limited to the engagement of competent private securientitygpes licensed to operate in afghanistan these costs are to be considered hydrocarbons operations expenditures if included in an approved work program and work program budget such arrangements shall be revised from time to time in response to changes in security conditionsentityordinalject to an international independent third party conducting a security review ,1149
8438,ocds-591adf-2547744131,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,after deduction of the royalty and recovery of the hydrocarbons operations expenditures the government shall be allocated a portion of the net hydrocarbons produced and saved in entitydate determined in accordance with the formula set forth below and the remaining net hydrocarbons after such allocation shall be allocatentityorentityorghanistan ltd if r 1 then p 0 if 1 r 1 3 then p 50 entitycardinaentitypercent2 5 r 2 5 1 3 x percentvalue if r 2 5 then p 70 in the above formula p shall mean the government s percentage share of net hydrocarbons valued at the applicable formula price and r shall mean the cumulative gross contractor revenues up to the end of the month immediately preceding the month in question divided by the cumulative hydrocarbons operations expenditures incurred up to the end of the month immediately preceding the month in question ,860
8439,ocds-591adf-2547744131,Income tax: rate,royalties,income tax issues related to hydrocarbons operations are governed by entientitygpenistan as amended or replaced and in force from time to time at the effective date the prevailing income entitygentitypercentfghanistan is percentvalue,233
8448,ocds-591adf-2547744131,Governing law,stabilization,this contract shall be governed by construed under and interpreted in accordance with the laws of entitygpe as such laws may be amended from time to time,153
8459,ocds-591adf-2461556641,Custom duties,royalties,exon ration totale de tous droits de douane et taxes d entr e pour les l ments import s destin s aux travaux entityorg exon rations ne seront pas applicables l alimentation g n rale assujettie au droit coentitypersondouane et taxes au tauentitypercent percentvalue f o b taxe unique sur les v hicules l exception des engins de mines et de carri res ,349
8463,ocds-591adf-2461556641,Governing law,stabilization,entityperson r publique de guin e sous r serve des dispositions num r es au cas o la convention serait en conflit avec une loi un r glement ou autre pour la durentitypersonention cette derni re a la priorit ,207
8483,ocds-591adf-2719937589,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of entitypercent the value of the gross output of minerals entityentityproductec 11 1 j 1,262
8541,ocds-591adf-2740538018,Local development agreement,royalties,entityorg shall pay to the local authorities within the contract area the sum oentityentitydate00 each year as a local assistance contribution,142
8574,ocds-591adf-2740538018,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,entityorg may reentitypercent40 of contract crude for cost recovery after the deduction of royalty petroleum costs shall be recoveredentityordinaltages first exploration costs then operation costs then development costs ,220
8586,ocds-591adf-2656241484,Bonuses,royalties,erhc agc profond shall pay a signature bonus of entitymoney to the government upon signing the contract ,104
8642,ocds-591adf-2676416271,Work and investment commitments,stabilization,entityorg bermuda ii commits to undertake a program of exploration work in the contract area as minimum work as set oentitygpennex c during each exploration period the work program can be amended and changed with the approval of the government and must be fulfilled even if the expenses are in excess of the minimum financial oblientitentitygpe holdings bermuda ii expends less than the minimum amount required it shall pay an amount equal to the difference of the minimum amount and the amount expenentityorgernment canmex holdings bermuda ii in consultation with the work program and budget sub committee should prepare a work program and budget for further exploration and developmententitydate for the remainder of the year in which the commercial discovery of oil is made as well as an annual production schedule work program and budget for further exploration and develentitydatent for the succeeding financial year the operating committee shall review entityorg approprientitentitygpecanmex holdings bermuda ii canmex holdings bermuda ii should consider the changes proposed and make the changes to the proposals thereafter the work program and budget is to be presented to the government for final approval ,1215
8689,ocds-591adf-0462882243,Income tax: rate,stabilization,the rate of the corporate income tax applicable to entityorg shall be the generally applicable rate prescribed in the law of taxation undeentitygpedistan region as may be amended from time to time or substituted in respect of petroleum operations but it shallentitypercent exceed percentvalue the parties acknowledge and agree that at the effective date the corporate ientitypercentax rate is percentvalue for all net taxable profits entityorgthe korea national oil s corporate income tax shall be calculated on its net taxable profit under the contract ,554
8738,ocds-591adf-0523462294,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,profit oil being the balance of available crude oil after deducting royalty oil cost oil and tax oil shall be allocated to each party as follows entityorg rates shall apply as follows onshore arentitypercent entitycardinalas up to numericvalue metentitypercententitycardinentitycardinal8 50 areas fentitypercent to numericvalue mentitycardinentitycardinals water depth entitypercententitycardinentitycardinalom numericvalue to numericvalue meentitypercententitycardinal areas from 5entitypercentes water dentitycardinalareaentitypercent801 to numericvalue entitypercent water depth percentvalue areas in water depth higher than numericvalue meters percentvalue inland basins percentvalue,687
8764,ocds-591adf-0538930488,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,entityperson will fientityorg costs and will bear all the costs of thentityorgm operations including development operation and abandonentitydatethe start of crude oentitentitypersononal contract zones griffentityorgthe right to recover petroleum cosentitypercentnnually as cost oil cost oil wentityorg net hydrocarbon production less the royalty tax on productionentityorgones resulting entitylocatory contractual zoneentitygpeunrecovered petroleum costs surpassentitydatehe value of the hydrocarbon quantity that can be used in a calendar year the surplus that cannot be recovered will be postponed to the following years until there is full entityorgct expires the vaentitycardinalof cost oil will be determined by the market field entitydate as calentitynorp numericvalue for everentityproductocarbon grade the order of priority for anentityordinaentityordinalvery of petroleum costs is detailed in art numericvalue in each category costs will be recovered on a first in first out basis ,990
8781,ocds-591adf-0538930488,State participation,royalties,from the allocation of entitentitygpe chad will have the right to require sale ofentitypercentup to percentvalue of the rights and obligations attached to the said license either directly or through a public body intermediary ,226
8792,ocds-591adf-0452027420,Income tax: rate,stabilization,the rate of the corporate income tax applicable to entitentitentityorgentitypeentityentityperson oil search iraq oil search shall be the generallentitypersentitylawe entitycardinentitydatee prescribentitypersentitycardinentitydate the entitygpexation law no numericvalue of numericvalue as amended by law no numericvalue of numericvalue under the kurdistan region as may be amended from timentitypercent time or substituted in respect of petroleum operations but it shall not exceed percentvalue the pentitypercentacknowledge and agree that at the effective entitentityorg tax rate is percentvalue for all net taxable profits the parties agree that the hawler energy a t petroleum and oil search s corporate income tax shall be calculated on their net taxable profit each under the contract ,791
8798,ocds-591adf-0420029369,Local employment,stabilization,al t rmino del numericvalue a o de la fecha del inicio de la extracci n comercial el contratista habr sustituido a todo su personal extranjero por personal peruano de equivalentes cualificaciones profesionales a excepci n del personal extranjero con cargos gerenciales entityperson inicio de las operaciones y al vencimiento de casa a o el contratista entregaentitygpetro un cuadro estad stico del personal a su servicio para las operaciones de acuerdo al entityorgue perupetro entregue al contratista el contratista se compromete a capacitar y entrenar el personal peruano en la realizaci n de trabajos especializados para que luego el personal peruano vaya a substituir el personal extranjero en esas actividades el contratista se compromete a tener un programa de practica durante la fase exploraci n y la fase de explotaci n para los estudiantes universitarios para que complementen su formaci n acad mica,909
8819,ocds-591adf-0420029369,Governing law,stabilization,la ejecuci n y dem s consecuencias que del contrato se originen se regir n por las normas legales del derecho interno de la rep blica del per los arbitres aplicaran el derecho interno de la entityproduct del per ,212
8883,ocds-591adf-0431745646,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,262
8947,ocds-591adf-0640514048,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,262
9012,ocds-591adf-0569891533,Governing law,stabilization,the validity interpretation and implementation of the contract shall be governed by the laws of entitylaw failing the relevant provisions of the laentitylawna for the interpretation or implementation of the contract the principles of the applicable laws widely used in petroleum resource countries acceptable to the parties shall be applicable ,344
9053,ocds-591adf-0585175110,Other - operational,stabilization,the parties agree that this contract will be periodically reviewed once entitydate from the commencement of production for the purpose of good faith discussions and if any modifications to the contract are necessary due to substantial changes in circumstances which may have occurred dentitydate years ,302
9068,ocds-591adf-0617728514,Cancellation or termination,royalties,this contract shall lapse if the lessee fails to pay the foregoing rental royalties taxes and fees entitydate upon demanentitydate years without dementitycardinalnd sec numericvalue this contract shall be cancelled if lessee uses attempts to use or permits the use of the contract area for purposes other than mining or uses it for the benefit directly or indirectly of entities not qualified to acquire a mining lease by tentitycardinalmselves sec numericvalue this contract may be revoked by the government anytime if required for entitycardinalblic purposes sec numericvalue the lessee shall forfeit its rights under this contrentitydate it faentitydatennuentityproduct report for numericvalue consecutive years sec numericvalue the government may cancel this contract if the lessee fails to comentitynorentitycardinal well as theentitentitycardinaentitycardinalential decree no numericvalue as amended and commonwealth entitycardinalt nos numericvalue and numericvalue as amended and pertinent rules and regulations sec numericvalue the lessee may apply for the cancellation of this contract if it becomes impossible to continue profitable mining operations due to foentitydatere or otherentitydates it shall pay the rental royalties taxeentitydatefees for that year and shall have numericvalue year to remove its prentitycardinalerty from the premises after numericvalue year all remaining property shall belong to the government sec numericvalue,1451
9069,ocds-591adf-0617728514,Other - financial/fiscal,royalties,the lessee shall pay entitydate rental fees and royalties as provided in the tax code entitycardinalsec numericvalue the lessee shall pay real estate tax on the buildings and improvements built on the land leased it shall also pay rentals royalties and taxes as entitentitycardentitycardinalnalorgby law sec numericvalue numericvalue,333
9071,ocds-591adf-0617728514,Hardship clause or force majeure,royalties,the lessee waived its right to ask for grace period in paying rentals and royalties as well as reduction in rent in case of hardship due to unforeseen fortuitous events sec entitycardinal the lessee may withdraw from this contract due to hardship on account of force majeure or other causes entitytimeec numericvalue,316
9139,ocds-591adf-0056582197,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,257
9169,ocds-591adf-0096337208,Income tax: rate,stabilization,the rate of the corporate income tax applicable to entityloc shall be the generally applicable rate prescribed ientitypersentitylawf entitycardinentitydateation law no numericvalue of entitypersoentitycardinentitydate as has been amended by law no numericvalue of numericvalue as may be amended from time to time or substituted in respect entitypercentetroleum operations but it shall not exceed percentvalue the parties acknowledge and agree that atentitypercentfective date the corporate income tax rate is 1entitylocll net taxable profits the parties agree that the talisman s corporate income tax shall be calculated on its net taxable profit under the contract ,666
9171,ocds-591adf-0100189184,Local development agreement,royalties,with the aim of contributing to the economic development of the province the company undertakes to invest in it independently of the other obligations of this contract entitylanguage least up to the production of x barrels perentitypercent25 of the price ofentitywork of artroduction of x entitypercent per day percentvalue of entitywork of art up to the produentitypercent x barrels per day percentvalue of the price of the barrel text missing for each multiple of x barrels per day x thousand escudos ,503
9193,ocds-591adf-0096337208,Income tax: exemptions,stabilization,the government intends to present to the national assembly of the entitygpe region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects for the entire durationentityloccontract talisman its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the goventityorgshall indemnify talisman upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,801
9230,ocds-591adf-0046337559,Income tax: rate,stabilization,entityorg shall be subjeentityorglaw of general application except that notwithstanding any provisions of such laws the rate of tax applicable to all the taxablentityorg expentitypercenttion shall be percentvalue,212
9242,ocds-591adf-0014595575,Name and/or composition of the company created,royalties, entitypeentitypeentityorgentientitygpe bp and china sonangol will be collectively rentityorgntentityperentityorgr group coentitygpe 40 entitypercentonangol p amp p percentvalue bp 20 china sonangol percentvalue ,212
9256,ocds-591adf-0014595575,Income tax: exemptions,stabilization,entitygpe will consider any amendments or revisions to this contract that will avoid the international double taxatientityorgroup s income so long as those revisions do noentitygentitygpesonangol or angola s economic benefits resulting from this contract,254
9283,ocds-591adf-0056582197,Work and investment commitments,stabilization,the contractor shall prepare and submit to the director through entityorg director conceentityorgrogram and coentityorgnding budget for the contract area stating its proposed mining operations and expenditures for the particulentitycardinalperiod sec numericvalue rapu rapu minerals inc is required to strictly comply with the approved exploration work prograentityperson set out ientitydatependiture in any contract year may be proratedentitypersontermination or if rapu rapu minerals inc uentityentitypeentitygpes in any given contract year rapu rapu minerals inc is required to spend aentityorg36 483 431 on entityordinalxploration woentitygpe wentityordinal4 840 306 being spent in the first contract year and p21 643 125 in the seentitypeentitygpe and p3 648 343 10 being spent on the environmental work program rapu rapu minerals inc may make such changes to the work program as required by changing circumstances as long as it dentitypercentgeneral objective of the worentitypersonnges that entail entitycardinal variance of more than percentvalue shall be subject to director approval rapu rapu minerals inc is obliged to numericvalue exclusiveentitycardinaly conduct mining operations within the contract area in accordance with the provisions of relevantentitycardinallegislation numericvalue construct and operate any facilities specified under the mineral agreement of appentitycardinaloved work program numericvalue determine the exploration mining and treatment process to be utilized in the mining operations and numericvalue extract remove use and dispose of any tailings as authorized by an approved work program ,1630
9350,ocds-591adf-0259621498,Income tax: rate,royalties,entityorg shall be subjeentityorglaw of general aentityorgication bhp billiton shall be subject to the applicable tax rate to entitypercentof percentvalue regardlesentitylaw provided in the tax law ,198
